INFO:root:[session 1][epoch  1][iter 5800] loss: 4.7819, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1045, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5900] loss: 5.1488, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.6793, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6000] loss: 5.3220, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.3355, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6100] loss: 4.9483, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.0919, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6200] loss: 4.8050, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.8802, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6300] loss: 5.0680, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.6554, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6400] loss: 4.8658, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.6634, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6500] loss: 5.7349, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1572, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6600] loss: 5.4046, lr: 1.00e-03
INFO:root:			wsddn_cls: 9.8070, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6700] loss: 5.2544, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.5088, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6800] loss: 5.3932, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.0910, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 6900] loss: 4.7690, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.5305, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7000] loss: 5.2269, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.5592, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7100] loss: 4.8575, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.9876, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7200] loss: 5.1981, lr: 1.00e-03
INFO:root:			wsddn_cls: 8.3029, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7300] loss: 5.3921, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.0685, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7400] loss: 4.8022, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.4350, wsddn_box 0.0000
